jobname,location,pay (USD),applicants
PHP Developer,"Mexico City, Mexico",9000,21
PHP Developer,"Bogota, D.C., Capital District, Colombia",9000,0
PHP Developer,Venezuela,9000,22
PHP Developer,"Ciudad Juárez, Chihuahua, Mexico",9000,15
PostgreSQL Developer,"Cordoba, Córdoba, Argentina",9000,14
PostgreSQL Developer,"Mexico City, Mexico",9000,8
PostgreSQL Developer,"Bogota, D.C., Capital District, Colombia",9000,13
PostgreSQL Developer,Venezuela,9000,5
Python Developer,"Guadalajara, Jalisco, Mexico",9000,0
Python Developer,"Mexico City, Mexico",9000,0
Python Developer,"Monterrey, Nuevo León, Mexico",9000,20
Python Developer,"Bogota, D.C., Capital District, Colombia",9000,0
Python Developer,Venezuela,9000,0
Python Developer,Peru,9000,18
Python Developer,"Ciudad Juárez, Chihuahua, Mexico",9000,7
React Native Developer,"Cordoba, Córdoba, Argentina",9000,15
React Native Developer,"Mexico City, Mexico",9000,11
React Native Developer,"Guadalajara, Jalisco, Mexico",9000,9
React Native Developer,"Bogota, D.C., Capital District, Colombia",9000,7
React Native Developer,Peru,9000,11
React Native Developer,Venezuela,9000,5
React.JS Developer,"Cordoba, Córdoba, Argentina",9000,0
React.JS Developer,Costa Rica,9000,0
React.JS Developer,"Mexico City, Mexico",9000,0
React.JS Developer,"Bogota, D.C., Capital District, Colombia",9000,0
React.JS Developer,"Guadalajara, Jalisco, Mexico",9000,0
React.JS Developer,Venezuela,9000,19
React.JS Developer,"Cerro Largo, Uruguay",9000,20
React.JS Developer,Peru,9000,24
Ruby Developer,"Cordoba, Córdoba, Argentina",9000,3
Ruby Developer,"Mexico City, Mexico",9000,5
Ruby Developer,"Guadalajara, Jalisco, Mexico",9000,4
Ruby Developer,Venezuela,9000,3
Ruby Developer,"Bogota, D.C., Capital District, Colombia",9000,2
Ruby Developer,"Monterrey, Nuevo León, Mexico",9000,0
Ruby on Rails Developer,"Cordoba, Córdoba, Argentina",9000,0
Ruby on Rails Developer,"Mexico City, Mexico",9000,3
Ruby on Rails Developer,"Bogota, D.C., Capital District, Colombia",9000,7
Ruby on Rails Developer,Venezuela,9000,3
SQL Developer,Venezuela,9000,0
SQL Developer,Peru,9000,0
Salesforce Developer,"Cordoba, Córdoba, Argentina",9000,12
Salesforce Developer,"Mexico City, Mexico",9000,12
Salesforce Developer,"Guadalajara, Jalisco, Mexico",9000,8
Salesforce Developer,Venezuela,9000,10
Salesforce Developer,"Bogota, D.C., Capital District, Colombia",9000,8
Salesforce Developer,Peru,9000,4
Typescript Developer,"Cordoba, Córdoba, Argentina",9000,2
Typescript Developer,Venezuela,9000,8
Typescript Developer,"Bogota, D.C., Capital District, Colombia",9000,7
Typescript Developer,"Mexico City, Mexico",9000,3
Typescript Developer,"Guadalajara, Jalisco, Mexico",9000,2
Typescript Developer,Peru,9000,2
Vue.js Developer,"Cordoba, Córdoba, Argentina",9000,8
Vue.js Developer,"Mexico City, Mexico",9000,13
Vue.js Developer,"Bogota, D.C., Capital District, Colombia",9000,11
Vue.js Developer,Venezuela,9000,9
Vue.js Developer,Peru,9000,4
iOS Developer,"Cordoba, Córdoba, Argentina",9000,6
iOS Developer,Venezuela,9000,16
iOS Developer,"Bogota, D.C., Capital District, Colombia",9000,14
iOS Developer,"Mexico City, Mexico",9000,9
iOS Developer,Costa Rica,9000,8
iOS Developer,Peru,9000,8
